ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Days Subscribed,Demo User,Free Trial User,Free Trial Start Date,Free Trial Expiration,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count
2,EBR,Limited,INITIAL_PURCHASE,Web,39,USD,11/28/19,2/28/20,92,No,No,NULL,NULL,Off,Other,Consumer,Web,No,Yes,4,3,0,1,0
6,ESP,Limited,INITIAL_PURCHASE,Web,38.34,USD,8/23/19,11/23/19,92,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,162,1,0,1,0
7,ESP,Limited,RENEWAL,Web,79,USD,7/21/19,11/11/19,113,Yes,No,NULL,NULL,Off,Other,Consumer,App,Yes,Yes,2,0,0,0,0
8,DEU,Limited,INITIAL_PURCHASE,Web,38.4,USD,3/7/20,6/7/20,92,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,25,17,4,7,2
9,DEU,Limited,INITIAL_PURCHASE,Web,43.16,USD,3/3/20,6/8/20,97,No,Yes,3/3/20,3/6/20,On,Europe,Consumer,Web,No,Yes,52,11,0,5,0
12,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,10/17/19,1/21/20,96,No,Yes,10/17/19,10/20/19,Off,US/Canada,Consumer,Web,Yes,Yes,94,0,0,0,0
14,ALL,Limited,INITIAL_PURCHASE,Web,143.76,USD,3/25/20,3/25/22,730,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,174,37,6,28,2
17,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,3/25/20,1/1/99,28771,No,Yes,3/20/20,3/23/20,Off,US/Canada,Consumer,Web,Yes,Yes,8,6,3,2,1
22,ENG,Limited,INITIAL_PURCHASE,Web,39.5,USD,12/24/19,3/24/20,91,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,8,2,0,1,0
27,ESC,Limited,INITIAL_PURCHASE,Web,65.94,USD,3/16/19,12/27/19,286,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL
29,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,9/21/19,12/21/19,91,Yes,No,NULL,NULL,Off,Other,Consumer,Web,Yes,Yes,316,243,4,120,1
31,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,3/21/20,1/1/99,28775,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,23,7,5,3,2
35,EBR,Limited,INITIAL_PURCHASE,Web,35.97,USD,7/19/19,10/22/19,95,No,Yes,7/19/19,7/22/19,On,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL
40,ITA,Limited,RENEWAL,Web,35.97,USD,10/1/19,7/1/20,274,No,No,NULL,NULL,On,Other,Other,Unknown,No,No,3,1,0,1,0
42,ESP,Limited,INITIAL_PURCHASE,Web,38.89,USD,1/27/20,4/30/20,94,No,Yes,1/27/20,1/30/20,Off,US/Canada,Consumer,Web,Yes,Yes,19,11,4,7,2
43,RUS,Limited,INITIAL_PURCHASE,Web,39,USD,8/22/19,11/25/19,95,No,Yes,8/22/19,8/25/19,Off,Europe,Consumer,Web,No,Yes,79,56,1,38,1
61,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,3/7/20,1/1/99,28789,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,6,1,0,1,0
65,ENG,Limited,INITIAL_PURCHASE,Web,65.94,USD,8/24/19,2/24/20,184,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,38,3,0,3,0
71,ESP,Limited,INITIAL_PURCHASE,Web,34.64,USD,12/3/19,3/3/20,91,No,No,NULL,NULL,Off,Other,Other,Unknown,No,No,10,0,0,0,0
79,FRA,Limited,INITIAL_PURCHASE,Web,119,USD,9/4/19,3/7/20,185,No,Yes,1/23/20,1/26/20,Off,US/Canada,Consumer,Web,Yes,Yes,9,0,0,0,0
84,RUS,Limited,INITIAL_PURCHASE,Web,143.76,USD,9/27/19,12/30/19,94,No,Yes,6/6/19,6/9/19,On,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0
87,CHI,Limited,RENEWAL,Web,79,USD,6/16/19,12/21/19,188,No,Yes,6/16/19,6/19/19,Off,Europe,Consumer,App,No,Yes,NULL,NULL,NULL,NULL,NULL
96,GRK,Limited,INITIAL_PURCHASE,Web,71.63,USD,12/18/19,6/18/20,183,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL
98,FRA,Limited,RENEWAL,Web,35.97,USD,9/22/19,6/22/20,274,Yes,No,NULL,NULL,On,US/Canada,Consumer,App,Yes,Yes,4,0,0,0,0
103,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,2/23/20,1/1/99,28802,No,No,NULL,NULL,Off,Other,Other,Unknown,No,No,7,1,0,1,0
105,FRA,Limited,RENEWAL,Web,35.97,USD,10/18/19,7/21/20,277,No,Yes,10/18/19,10/21/19,On,US/Canada,Consumer,Web,Yes,Yes,6,4,0,2,0
106,ENG,Limited,RENEWAL,Web,79,USD,7/14/19,2/8/20,209,No,Yes,7/14/19,7/17/19,Off,US/Canada,Consumer,Web,Yes,Yes,274,243,7,74,1
110,ESP,Limited,INITIAL_PURCHASE,Web,143.76,USD,6/29/19,6/29/21,731,No,No,NULL,NULL,Off,US/Canada,Other,Web,Yes,Yes,NULL,NULL,NULL,NULL,NULL
114,ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,3/5/20,1/1/99,28791,No,Yes,3/4/20,3/7/20,Off,Other,Consumer,Web,No,Yes,5,5,0,1,0
120,TUR,Limited,INITIAL_PURCHASE,Web,70.29,USD,10/19/18,10/31/20,743,No,No,NULL,NULL,On,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0
123,ALL,Lifetime,INITIAL_PURCHASE,Web,216.11,USD,3/13/20,1/1/99,28783,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,19,13,5,4,1
125,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,10/25/19,1/24/20,91,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,99,2,1,2,1
126,ALL,Lifetime,INITIAL_PURCHASE,Web,218.9,USD,2/26/20,1/1/99,28799,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,10,1,0,1,0
131,ITA,Limited,RENEWAL,App,37.77,USD,7/18/19,4/21/20,278,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL
135,ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,2/27/20,1/1/99,28798,No,Yes,2/26/20,2/29/20,Off,US/Canada,Consumer,Web,Yes,Yes,13,1,0,1,0
144,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,3/16/20,1/1/99,28780,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,57,8,8,2,2
150,JPN,Limited,RENEWAL,Web,79,USD,7/20/19,4/20/20,275,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,No,Yes,10,9,4,2,1
153,ENG,Limited,INITIAL_PURCHASE,Web,39,USD,8/26/19,11/29/19,95,No,Yes,8/26/19,8/29/19,On,US/Canada,Consumer,Web,Yes,Yes,78,0,0,0,0
154,FRA,Limited,INITIAL_PURCHASE,Web,38.13,USD,9/19/19,12/19/19,91,No,No,NULL,NULL,Off,Other,Other,Unknown,No,No,51,2,0,2,0
172,ESP,Limited,RENEWAL,Web,79,USD,4/13/19,1/13/20,275,Yes,No,NULL,NULL,Off,US/Canada,Consumer,App,Yes,Yes,141,5,1,5,1
173,ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,2/23/20,1/1/99,28802,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,Yes,Yes,53,8,0,4,0
174,FRA,Limited,INITIAL_PURCHASE,Web,37.77,USD,8/30/19,11/30/19,92,No,No,NULL,NULL,Off,US/Canada,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL
175,ALL,Lifetime,INITIAL_PURCHASE,Web,212.43,USD,3/3/20,1/1/99,28793,No,No,NULL,NULL,Off,Other,Other,Unknown,No,No,7,2,0,1,0
180,ESP,Limited,RENEWAL,Web,35.97,USD,7/11/19,7/14/20,369,No,Yes,7/11/19,7/14/19,On,US/Canada,Consumer,Web,Yes,Yes,8,5,0,1,0
